show,season,unique_id,full_name,age,hometown,occupation
Bachelor,2,02_MERILEE_X,Merrilee,28,"Forked River, New Jersey",1st Grade Teacher
Bachelor,2,02_SHANNON_X,Shannon,26,"Long Island, New York",Graphic Artist
Bachelor,2,02_SUZANNE_X,Suzanne,33,"Redondo Beach, California",Flight Attendant
Bachelor,2,02_SUZI_X,Suzi,28,"Richmond, Virginia",Communications Specialist
Bachelorette,2,02_AARON_X,Aaron,32,"Sacramento, California",Title and Escrow Sales
Bachelorette,2,02_ANDY_C,Andy Chang,33,"Dallas, Texas",Dentist
Bachelorette,2,02_ANSELM_C,Anselm Clinard,32,"Venice, California",Art Designer
Bachelorette,2,02_BRAD_X,Brad,29,"Grand Rapids, Michigan",Pharmaceutical Sales Rep
Bachelorette,2,02_BRIAN_X,Brian,31,"Quincy, Massachusetts",Attorney
Bachelorette,2,02_CHAD_X,Chad,31,"Buffalo, New York",Pharmaceutical Sales Rep
Bachelorette,2,02_CHRIS_X,Chris,31,"Boston, Massachusetts",Accountant
Bachelorette,2,02_CORY_H,Cory Higgins,24,"Long Beach Island, New Jersey",Small Business Owner
Bachelorette,2,02_DAMON_X,Damon,28,"Cardiff, California",Arena Football Player
Bachelorette,2,02_ELIOT_X,Eliot,25,"Mountain View, California",Options Trader
Bachelorette,2,02_HAROLD_H,Harold Hersh,29,"Rock Island, Illinois",Professional Hockey Player
Bachelorette,2,02_IAN_M,Ian McKee,29,"New York, New York",Equity Research Sales
Bachelorette,2,02_JEFF_O,Jeff O'Quinn,30,"Macon, Georgia",Pharmaceutical Sales Rep
Bachelorette,2,02_JUSTIN_X,Justin,25,"Orlando, Florida",Professional Baseball Player
Bachelorette,2,02_KEITH_X,Keith,31,"Baltimore, Maryland",Financial Analyst
Bachelorette,2,02_LANNY_X,Lanny,26,"Aubrey, Texas",Stallion and Breeding Manager
Bachelorette,2,02_MARCUS_X,Marcus,26,"Los Angeles, California",Personal Trainer
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,28,"Friendswood, Texas",Pharmaceutical Sales Rep
Bachelorette,2,02_RICK_X,Rick,29,"San Diego, California",Business Manager
Bachelorette,2,02_ROBERT_X,Robert,32,"El Segundo, California",Alliance Development
Bachelorette,2,02_RYAN_M,Ryan M.,30,"Santa Barbara, California",Financial Advisor
Bachelorette,2,02_RYAN_R,Ryan R.,29,"Wynola, California",Sales/Marketing
Bachelorette,2,02_SEAN_X,Sean,31,"Wall, New Jersey",CPA
Bachelorette,2,02_TODD_X,Todd,36,"San Francisco, California",Options Trader
