SHOW,SEASON,538_NAME,FULL_NAME,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
Bachelor,2,02_HAYLEY_X,Hayley,,,,E,,,,,,,,D5,D3,D3,,,,,,
Bachelor,2,02_HEATHER_C,Heather Cranford,,,,E,,,,,,,,D5,D5,D1,,,,,,
Bachelor,2,02_HEATHER_X,Heather,,,E,,,,,,,,,D5,D5,,,,,,,
Bachelor,2,02_HELENE_E,Helene Eksterowicz,,,,,,,W,,,,,D5,D1,D1,D1,D1,D1,,,
Bachelor,2,02_KYLA_X,Kyla,,,E,,,,,,,,,D5,D3,,,,,,,
Bachelor,2,02_LIANGY_X,Liangy,E,,,,,,,,,,,,,,,,,,,
Bachelor,2,02_LORI_X,Lori,E,,,,,,,,,,,,,,,,,,,
Bachelor,2,02_MERILEE_X,Merrilee,E,,,,,,,,,,,,,,,,,,,
Bachelor,2,02_SHANNON_X,Shannon,,,E,,,,,,,,,D5,D5,,,,,,,
Bachelor,2,02_SUZANNE_X,Suzanne,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,2,02_SUZI_X,Suzi,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_AARON_X,Aaron,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_ANDY_C,Andy Chang,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_ANSELM_C,Anselm Clinard,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_BRAD_X,Brad,,,,E,,,,,,,,D7,D7,D4,,,,,,
Bachelorette,2,02_BRIAN_X,Brian,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_CHAD_X,Chad,,,,,,E,,,,,,D7,D7,D1,D1,D1,,,,
Bachelorette,2,02_CHRIS_X,Chris,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_CORY_H,Cory Higgins,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_DAMON_X,Damon,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,2,02_ELIOT_X,Eliot,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,2,02_HAROLD_H,Harold Hersh,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,2,02_IAN_M,Ian McKee,,,,,,,W,,,,,D7,D1,D4,D1,D1,D1,,,
Bachelorette,2,02_JEFF_O,Jeff O'Quinn,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_JUSTIN_X,Justin,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_KEITH_X,Keith,E,,,,,,,,,,,,,,,,,,,
Bachelorette,2,02_LANNY_X,Lanny,,,,,E,,,,,,,D7,D7,D1,D1,,,,,
Bachelorette,2,02_MARCUS_X,Marcus,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,2,02_MATTHEW_H,Matthew Hickl,,,,,,,E,,,,,D7,D7,D1,D1,D1,D1,,,
Bachelorette,2,02_RICK_X,Rick,,,E,,,,,,,,,D1,D7,,,,,,,
Bachelorette,2,02_ROBERT_X,Robert,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,2,02_RYAN_M,Ryan M.,,,,E,,,,,,,,D7,D2,D4,,,,,,
Bachelorette,2,02_RYAN_R,Ryan R.,,,E,,,,,,,,,D7,D7,,,,,,,
Bachelorette,2,02_SEAN_X,Sean,,,,E,,,,,,,,D7,D7,D4,,,,,,
Bachelorette,2,02_TODD_X,Todd,,,E,,,,,,,,,D7,D2,,,,,,,
Bachelorette,2,02_TREVER_X,Trever,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_AMBER_X,Amber,,,E,,,,,,,,,D5,D1,,,,,,,
Bachelor,3,03_AMY_P,Amy P,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_AMY_G,Amy G,E,,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_ANGELA_X,Angela,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_ANNE_MICHELLE_X,Anne-Michelle,,,,E,,,,,,,,D5,D3,D1,,,,,,
Bachelor,3,03_AUDREE_X,Audree,,,E,,,,,,,,,D5,D5,,,,,,,
Bachelor,3,03_BROOKE_X,Brooke,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_CHRISTINA_S,Christina S,,EQ,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_COURTNEY_X,Courtney,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_CRISTINA_C,Cristina C,,,,E,E,,,,,,,D5,D3,D3,D1,,,,,
Bachelor,3,03_ELIZABETH_X,Elizabeth,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_GINNY_X,Ginny,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_HEATHER_X,Heather,,,E,,,,,,,,,D5,D5,,,,,,,
Bachelor,3,03_JEN_S,Jen Schefft,,,,,,,W,,,,,D5,D5,D1,D1,D1,D1,,,
Bachelor,3,03_JENNIFER_B,Jennifer B,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_KERRI_X,Kerri,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_KIRSTEN_X,Kirsten,,,,,,,E,,,,,D5,D1,D1,D1,D1,D1,,,
Bachelor,3,03_KRISTEN_X,Kristen,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_LIZ_X,Liz,,,,E,,,,,,,,D5,D3,D3,,,,,,
Bachelor,3,03_RACHEL_X,Rachel,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_SHANNON_X,Shannon,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,3,03_STEPHANIE_X,Stephanie,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_TIFFANY_X,Tiffany,E,,,,,,,,,,,,,,,,,,,
Bachelor,3,03_TINA_P,Tina P,,,,,,E,,,,,,D5,D5,D3,D1,D1,,,,
Bachelor,3,03_TINA_S,Tina S,,,E,,,,,,,,,D5,D5,,,,,,,
Bachelorette,3,03_A.W.,A.W.,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_ANDREW,Andrew,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_ANDY_L,Andy LeRoy,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_BEN_S,Ben S.,,,,E,,,,,,,,D7,D6,D4,,,,,,
Bachelorette,3,03_CHRIS_C,Chris C.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_CHRIS_M,Chris M.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_COLLIN_E,Collin E.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_DAVID_V,David V.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_ERIC_H,Eric H.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_ERIC_T,Eric T.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_FABRICE_L,Fabrice L.,,,,EQ,,,,,,,,D7,D1,D4,,,,,,
Bachelorette,3,03_JASON_I,Jason I.,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_JERRY_F,Jerry F.,,,,,,,,W,,,,D7,D6,D1,D1,D1,D1,,,
Bachelorette,3,03_JOHN PAUL_M,John Paul,,,,,,,E,,,,,D7,D1,D4,D1,D1,D1,,,
Bachelorette,3,03_JOSH_C,Josh Cox,,,E,,,,,,,,,D7,D6,,,,,,,
Bachelorette,3,03_KEITH,Keith,R1,,E,,,,,,,,,D1,D6,,,,,,,
Bachelorette,3,03_KEVIN,Kevin,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_MARK,Mark,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_MATT_L,Matt L.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,3,03_MATT_M,Matt M.,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_MICHAEL_F,Michael Foster,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_RYAN_SH,Ryan Sh.,,,,,,E,,,,,,D7,D6,D1,D1,D1,,,,
Bachelorette,3,03_RYAN_SM,Ryan Sm.,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_STU_L,Stu L.,,E,,,,,,,,,,D7,,,,,,,,
Bachelorette,3,03_WENDELL_J,Wendell J.,,,,,E,,,,,,,D7,D6,D4,D1,,,,,
Bachelor,4,04_ANTOINETTE,Antoinette,,,E,,,,,,,,,D6,D5,,,,,,,
Bachelor,4,04_BROOKE,Brooke,,,,E,,,,,,,,D4,D5,D3,,,,,,
Bachelor,4,04_CHRISTINE,Christine,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,4,04_DARLA,Darla,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_ESTELLA,Estella,,,,,,,W,,,,,D5,D5,D1,D1,D1,D1,,,
Bachelor,4,04_HEATHER,Heather,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_JENN,Jenn,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,4,04_JENNY,Jenny,,,E,,,,,,,,,D6,D5,,,,,,,
Bachelor,4,04_JULIE,Julie,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_KARIN,Karin,,,E,,,,,,,,,D4,D5,,,,,,,
Bachelor,4,04_KELLY-JO,Kelly Jo,,,,,,,E,,,,,D4,D3,D1,D1,D1,D1,,,
Bachelor,4,04_KRISTI,Kristi,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_LANAH,Lanah,,E,,,,,,,,,,D6,,,,,,,,
Bachelor,4,04_LAUREN,Lauren,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_LEE-ANN,Lee-Ann,,,,E,,,,,,,,D6,D1,D3,,,,,,
Bachelor,4,04_LEONA,Leona,E,,,,,,,,,,,,,,,,,,,
Bachelor,4,04_LINDSAY,Lindsay,,E,,,,,,,,,,D6,,,,,,,,
