SHOW,SEASON,538_NAME,FULL_NAME,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10
Bachelor,6,06_KRISTIN,Kristin,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_KRYSTA,Krysta,,,,E,,,,,,,,,,,,,,,,
Bachelor,6,06_LEINA,Leina,,EQ,,,,,,,,,,,,,,,,,,
Bachelor,6,06_LISA,Lisa,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_MARY,Mary,,,,,,,,W,,,,,D2,,D1,D1,D1,D1,,
Bachelor,6,06_MELINDA,Melinda,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_NATALIE,Natalie,,E,,,,,,,,,,,,,,,,,,
Bachelor,6,06_NICOLE,Nicole,E,,,,,,,,,,,,,,,,,,,
Bachelor,6,06_SUSIE,Susie,,,E,,,,,,,,,,,,,,,,,
Bachelor,6,06_TANYA,Tanya,,,,,,,,E,,,,,,D1,,D1,D1,D1,,
Bachelor,6,06_WENDE,Wende,,E,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_CHRIS_H,Chris Hasek-Watt,,E,,,,,,,,,,D12,,,,,,,,
Bachelorette,6,06_CHRIS_L,Chris Lambton,,,,R,,,,,,ED,,,D9,D1,D6,D4,D1,D1,D1,D1
Bachelorette,6,06_CHRIS_N,Chris Nordhorn,,,,,E,,,,,,,D12,D9,,D6,,,,,
Bachelorette,6,06_CRAIG_M,Craig McKinnon,,E,,,,,,,,,,D12,,,,,,,,
Bachelorette,6,06_CRAIG_R,Craig Robinson,,,,,,E,,,,,,D12,D9,D7,D6,D4,,,,
Bachelorette,6,06_DEREK_X,Derek,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_DERRICK_S,Derrick Schuster,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_FRANK_N,Frank Neuschaefer,,R,,,,R,,,EF,,,D1,D9,D7,D6,D1,D2,D1,D1,
Bachelorette,6,06_HUNTER_W,Hunter Wagner,,,ED,,,,,,,,,D12,D1,,,,,,,
Bachelorette,6,06_JASON_W,Jason Whitehead,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_JAY_R,Jay Resmini,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_JESSE_B,Jesse Beck,,R,,E,,,,,,,,D1,D9,D7,,,,,,
Bachelorette,6,06_JOHN_C,John Crivello,,,E,,,,,,,,,,D9,,,,,,,
Bachelorette,6,06_JOHN_N,John N.,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_JONATHAN_N,Jonathan Novack,,,,E,,,,,,,,D12,D9,D7,,,,,,
Bachelorette,6,06_JUSTIN_R,Justin Rego,,,,,R,EF,,,,,,D12,D9,,D2,,,,,
Bachelorette,6,06_KASEY_K,Kasey Kahl,,,,,ED,,,,,,,D12,,D1,D2,,,,,
Bachelorette,6,06_KIRK_D,Kirk DeWindt,,,R,,R,,,E,,,,D12,D9,D7,D1,D4,D1,D1,,
Bachelorette,6,06_KYLE_H,Kyle Higgins,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_PHIL_K,Phil Kayden,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_ROBERT_M,Roberto Martinez,R1,,R,,,,,,,W,,,D1,D7,D6,D4,D1,D1,D1,D1
Bachelorette,6,06_STEVE_K,Steve Kocsis,,,E,,,,,,,,,D12,,,,,,,,
Bachelorette,6,06_TY_B,Ty Brown,,R,,,R,R,E,,,,,D12,,D7,D6,D1,D2,,,
Bachelorette,6,06_TYLER_M,Tyler Vermette,E,,,,,,,,,,,,,,,,,,,
Bachelorette,6,06_TYLER_V,Tyler Morrow,,E,,,,,,,,,,D12,,,,,,,,
Bachelor,7,07_ANITRA,Anitra,R,,,E,,,,,,,D5,D10,D6,D5,,,,,,
Bachelor,7,07_BRENDA,Brenda,EU,,,,,,,,,,,,,,,,,,,
Bachelor,7,07_CARRIE,Carrie,,E,,,,,,,,,D6,D10,,,,,,,,
Bachelor,7,07_DANUSHKA,Danushka,E,,,,,,,,,,D6,,,,,,,,,
Bachelor,7,07_DEBBY,Debby,EU,,,,,,,,,,,,,,,,,,,
Bachelor,7,07_EMILIE,Emilie,E,,,,,,,,,,D5,,,,,,,,,
Bachelor,7,07_GEITAN,Geitan,E,,,,,,,,,,D9,,,,,,,,,
Bachelor,7,07_GINA MARIE,Gina Marie,,E,,,,,,,,,D9,D10,,,,,,,,
Bachelor,7,07_HEATHER,Heather,EU,,,,,,,,,,,,,,,,,,,
Bachelor,7,07_JENNY,Jenny,R,,E,,,,,,,,D6,D10,D6,,,,,,,
Bachelor,7,07_KARA,Kara,,R,EU,,,,,,,,D9,D10,D1,,,,,,,
Bachelor,7,07_KATIE,Katie,EU,,,,,,,,,,,,,,,,,,,
Bachelor,7,07_KERRY,Kerry,R1,E,,,,,,,,,D6,D10,,,,,,,,
Bachelor,7,07_KIMBERLY,Kimberley,R,R,R,,E,,,,,,D6,D10,D1,D5,D1,,,,,
Bachelor,7,07_KINDLE,Kindle,R,,,E,,,,,,,D5,D10,D6,D5,,,,,,
Bachelor,7,07_KRISILY,Krisily,R,,,,,,EU,,,,D9,D10,D6,D5,D1,D1,D1,,,
Bachelor,7,07_KRISTEN,Kristen,E,,,,,,,,,,D5,,,,,,,,,
Bachelor,7,07_KRISTINA,Kristina,EU,,,,,,,,,,,,,,,,,,,
Bachelor,7,07_KRISTINE,Kristine,E,,,,,,,,,,D9,,,,,,,,,
Bachelor,7,07_KYSHAWN,Kyshawn,E,,,,,,,,,,D9,,,,,,,,,
Bachelor,7,07_MEGAN,Megan,,EU,,,,,,,,,D5,D1,,,,,,,,
Bachelor,7,07_SARAH B.,Sarah B.,,,,R,,,W,,,,D9,D10,D6,D1,D1,D1,D1,,,
Bachelor,7,07_SARAH W.,Sarah W.,R1,R,,,,E,,,,,D9,D1,D6,D5,D1,D1,,,,
Bachelor,7,07_SIOMARA,Siomara,E,,,,,,,,,,D9,,,,,,,,,
Bachelor,7,07_VALERIE,Valerie,E,,,,,,,,,,D6,,,,,,,,,
Bachelorette,7,07_AMES_B,Ames Brown,,,,R,,,,E,,,,,D10,D1,D8,D6,D3,D1,,
Bachelorette,7,07_ANTHONY_S,Anthony Santucci,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_BEN_C,Ben Castoriano,,,R,,ED,,,,,,,,D1,D10,D2,,,,,
Bachelorette,7,07_BEN_F,Ben Flajnik,,,,R,R,,,,,E,,D6,D10,D10,D1,D6,D1,D1,D1,D1
Bachelorette,7,07_BENTLEY_W,Bentley Williams,,R,EQ,,,,,,,,,D6,D10,,,,,,,
Bachelorette,7,07_BLAKE_J,Blake Julian,,,,,R,E,,,,,,D6,D10,D10,D8,D6,,,,
Bachelorette,7,07_CHRIS_D,Chris Drish,,,E,,,,,,,,,,D10,,,,,,,
Bachelorette,7,07_CHRIS_M,Chris Malhomme,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_CONSTANTINE_T,Constantine Tzortzis,,,,R,,,,,EQ,,,,,D1,D8,D6,D1,D1,D1,
Bachelorette,7,07_FRANK_C,Frank Carpenter,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_JEFF_M,Jeff Medolla,,,E,,,,,,,,,,D10,,,,,,,
Bachelorette,7,07_JON_E,Jon Ellsworth,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_JP_R,J.P. Rosenbaum,,,R,,,R,R,,,W,,,D1,D10,D8,D1,D3,D1,D1,D1
Bachelorette,7,07_LUCAS_D,Lucas Daniels,,,,,,R,E,,,,,D6,D10,D10,D8,D1,D3,,,
Bachelorette,7,07_MATT_C,Matt Colombo,,E,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_MICHAEL_B,Michael Burns,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_NICK_P,Nick Peterson,,,,,E,,,,,,,D6,D10,D10,D8,,,,,
Bachelorette,7,07_ROB_D,Rob Dahm,E,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_RYAN_ML,"Ryan ""Mickey"" McLean",,R,,,,EQ,,,,,,D1,,D10,D8,D6,,,,
Bachelorette,7,07_RYAN_MI,Ryan Miller,,E,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_RYAN_P,Ryan Park,R1,,R,,,R,ED,,,,,,D10,D10,D8,D6,D1,,,
Bachelorette,7,07_STEPHEN_D,Stephen D'Amico,,E,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_TIM_M,Tim McCormack,EU,,,,,,,,,,,,,,,,,,,
Bachelorette,7,07_WEST_L,West Lee,,,,E,,,,,,,,D6,,D10,,,,,,
Bachelorette,7,07_WILLIAM_H,William Holman,,R,,,ED,,,,,,,D1,D10,D10,D2,,,,,
Bachelor,8,08_ALI_D,Ali D,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_ALLIE_G,Allie G,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_APRIL,April,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_COLE,Cole,,E,,,,,,,,,,D12,,,,,,,,
Bachelor,8,08_CORTNEY,Cortney,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_ELIZABETH,Elizabeth,,E,,,,,,,,,,D12,,,,,,,,
Bachelor,8,08_JAIME,Jaime,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_JEHAN,Jehan,,R,,E,,,,,,,,D12,D5,D1,,,,,,
Bachelor,8,08_JENNIFER,Jennifer,,,ED,,,,,,,,,"D6, D12",D2,,,,,,,
Bachelor,8,08_KATHY,Kathy,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_KRISTEN,Kristen,,ED,,,,,,,,,,"D1, D12",,,,,,,,
Bachelor,8,08_KYLE,Kyle,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_LISA,Lisa,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_LIZA,Liza,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_MOANA,Moana,,,R,,,,E,,,,,"D6, D12",D5,D4,D1,D1,D1,,,
Bachelor,8,08_PRINCESS,Princess,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_SARA_H,Sara H,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_SARAH_B,Sarah B,,,R,,E,,,,,,,"D6, D12",D2,D4,D1,,,,,
Bachelor,8,08_SARAH_S,Sarah S,,,,R,,,W,,,,,D12,D5,D1,D1,D1,D1,,,
Bachelor,8,08_SHILOH,Shiloh,,,E,,,,,,,,,"D6, D12",D5,,,,,,,
Bachelor,8,08_STEPHANIE,Stephanie,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_SUSAN,Susan,,,R,,,E,,,,,,"D6, D12",D1,D4,D1,D1,,,,
Bachelor,8,08_TARA,Tara,,R,,E,,,,,,,,"D6, D12",D5,D4,,,,,,
Bachelor,8,08_VENUS,Venus,E,,,,,,,,,,,,,,,,,,,
Bachelor,8,08_YVONNE,Yvonne,,E,,,,,,,,,,D12,,,,,,,,
Bachelorette,8,08_AARON_M,Aaron Martell,,E,,,,,,,,,,D13,,,,,,,,
Bachelorette,8,08_ALEJANDRO_V,Alejandro Velez,,,,,E,,,,,,,D13,D12,,D8,,,,,
Bachelorette,8,08_ALESSANDRO_G,Alessandro Goulart,,,EU,,,,,,,,,D13,D12,,,,,,,
Bachelorette,8,08_ARIE_L,"Arie Luyendyk, Jr.",,,R,,,,,,,ED,,,D1,D8,D8,D6,D1,D1,D1,
Bachelorette,8,08_BRENT_R,Brent Richter,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_CHARLIE_G,Charlie Grogan,,,,E,,,,,,,,D13,D12,D8,,,,,,
Bachelorette,8,08_CHRIS_B,Chris Bukowski,,,R,,,R,,E,,,,D13,D1,D8,D8,D6,D3,D1,,
Bachelorette,8,08_DAVID_H,David Homyk,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_DOUG_C,Doug Clerget,R1,,,R,,,ED,,,,,,D12,D1,D8,D6,D3,,,
Bachelorette,8,08_JACKSON_L,Jackson Longnecker,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_JEANPAUL_L,Jean-Paul LaCount,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_JEF_H,Jef Holm,,R,,R,R,,,,,W,,D13,D12,D8,D1,D6,D1,D1,D1,D1
Bachelorette,8,08_JOE_G,Joe Gendreau,,ED,,,,,,,,,,D1,,,,,,,,
Bachelorette,8,08_JOHN_W,John Wolfner,,,,R,,,E,,,,,D13,D12,D2,D8,D6,D1,,,
Bachelorette,8,08_KALON_M,Kalon McMahon,,,,,ED,,,,,,,D13,,D8,D8,,,,,
Bachelorette,8,08_KYLE_D,Kyle Dillon,,E,,,,,,,,,,D13,,,,,,,,
Bachelorette,8,08_LERONE_A,Lerone Anu,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_MICHAEL_N,Michael Nance,,,,E,,,,,,,,D13,D12,,,,,,,
Bachelorette,8,08_NATHAN_B,Nathan Baake,,,,ED,,,,,,,,D13,,D2,,,,,,
Bachelorette,8,08_RANDY_W,Randy Lee Woyak,E,,,,,,,,,,,,,,,,,,,
Bachelorette,8,08_RYAN_B,Ryan Bowers,,R,,,,ED,,,,,,D1,D12,D8,D8,D1,,,,
Bachelorette,8,08_SEAN_L,Sean Lowe,,,R,,R,,R,,E,,,,D12,D8,D1,D6,D3,D1,D1,
Bachelorette,8,08_STEVIE_A,Stevie Alberino,,,E,,,,,,,,,D13,D12,,,,,,,
Bachelorette,8,08_TONY_P,Tony Pieper,,,ED,,,,,,,,,D13,D12,,,,,,,
Bachelorette,8,08_TRAVIS_P,Travis Pope,,,,,,ED,,,,,,,D12,D8,D8,D1,,,,
Bachelor,9,09_AGNESE_P,Agnese Polliza,,,R,,E,,,,,,,D5,D2,D4,D1,,,,,
Bachelor,9,09_ANDREA_S,Andrea Shirley,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_APRIL_J,April Jacobs,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_BOWE_N,Britt (Bowe) Newton,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_CARISSA_I,Carissa Ilburg,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_CLAUDIA_G,Claudia Gismondi,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_COSETTA_B,Cosetta Blanca,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_DESIREE_V,Desiree Valentin,,,,E,,,,,,,,D6,D6,D4,,,,,,
Bachelor,9,09_ELLEN_D,Ellen DeMaio,,E,,,,,,,,,,D5,,,,,,,,
Bachelor,9,09_ELYSE_H,Elyse Hammer,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_ERICA_R,Erica Rose,,,ED,,,,,,,,,D5,D2,,,,,,,
Bachelor,9,09_GINA_C,Gina Clark,,,E,,,,,,,,,D6,D6,,,,,,,
Bachelor,9,09_HEATHER_S,Heather Sneed,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_JAMI_M,Jami Matzke,,,ED,,,,,,,,,D5,D1,,,,,,,
Bachelor,9,09_JEANETTE_P,Jeanette Pawula,,,R,E,,,,,,,,D6,D6,D4,,,,,,
Bachelor,9,09_JENNIFER_W,Jennifer Wilson,,R,,R,,,W,,,,,D6,D6,D1,D1,D1,D1,,,
Bachelor,9,09_JESSICA_H,Jessica Horner,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_KIM_J,Kim Jackson,,E,,,,,,,,,,D6,,,,,,,,
Bachelor,9,09_LAURA_M,Laura Morgan,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_LISA_B,Lisa Blank,R1,R,,,,E,,,,,,D1,D6,D4,D1,D1,,,,
Bachelor,9,09_MERI_B,Meri Barr,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_RENEE_S,Renee Snell,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_RITA_G,Rita Ghazal,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_ROSELLA_F,Rosella Fratto,E,,,,,,,,,,,,,,,,,,,
Bachelor,9,09_SADIE_M,Sadie Murray,,R,,R,,,E,,,,,D5,D6,D1,D1,D1,D1,,,
Bachelor,9,09_SARAH_S,Sarah Schnare,,E,,,,,,,,,,D6,,,,,,,,
Bachelor,9,09_TARA_D,Tara Durr,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_BEN_S,Ben Scott,R1,R,,,ED,,,,,,,D14,D10,D10,D2,,,,,
Bachelorette,9,09_BRAD_M,Brad McKinzie,,,,ED,,,,,,,,,D10,D1,,,,,,
Bachelorette,9,09_BRANDON_A,Brandon Andreen,,,E,,,,,,,,,D14,D10,,,,,,,
Bachelorette,9,09_BRIAN_J,Brian Jarosinski,,,EF,,,,,,,,,D14,D10,,,,,,,
Bachelorette,9,09_BROOKS_F,Brooks Forester,,R,,,R,,,,EQ,,,D1,D10,D10,D7,D6,D1,D1,,
Bachelorette,9,09_BRYDEN_V,Bryden Vukasin,R1,R,,,EQ,,,,,,,D1,D5,D10,,,,,,
Bachelorette,9,09_CHRIS_S,Chris Siegfried,,,R,,R,,,,,W,,,D10,D10,D1,D6,D1,D1,D1,D1
Bachelorette,9,09_DAN_C,Dan Cox,,,E,,,,,,,,,D14,D5,,,,,,,
Bachelorette,9,09_DIOGO_C,Diogo Custodio,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_DREW_K,Drew Kenney,R1,,,,,R,R,,,ED,,D14,D10,D10,D7,D1,D2,D1,D1,D1
Bachelorette,9,09_JAMES_C,James Case,,,R,R,,E,,,,,,D14,D5,D1,D7,D6,,,,
Bachelorette,9,09_JONATHAN_V,Jonathan Vollinger,EU,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_JUAN_G,Juan Pablo Galavis,,,,,,E,,,,,,D14,D5,D10,D7,D6,,,,
Bachelorette,9,09_KASEY_S,Kasey Stewart,,,R,,,E,,,,,,D14,D1,D10,D7,D6,,,,
Bachelorette,9,09_LARRY_B,Larry Burchett,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_MICAH_X,Micah,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_MICHAEL_G,Michael Garofola,R1,,,,R,,E,,,,,D14,D10,D10,D2,D6,D1,,,
Bachelorette,9,09_MIKE_X,Mike,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_MIKEY_T,Mikey Tenerelli,,,,,E,,,,,,,D14,D10,D10,D7,,,,,
Bachelorette,9,09_NICK_M,Nick Mucci,R1,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,9,09_NICK_R,Nick Roy,E,,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_ROBERT_G,Robert Graham,,E,,,,,,,,,,,,,,,,,,
Bachelorette,9,09_WILL_R,Will Reese,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,9,09_ZACK_K,Zack Kalter,,,,E,,,,,,,,D14,D10,,,,,,,
Bachelorette,9,09_ZAK_W,Zak Waddell,R1,,,R,,R,,E,,,,D14,D5,D10,D7,D1,D2,D1,,
Bachelor,10,10_ALEXIS_Y,Alexis Young,,E,,,,,,,,,,D7,,,,,,,,
Bachelor,10,10_AMANDA_H,Amanda Hackney,,,E,,,,,,,,,D7,D4,,,,,,,
Bachelor,10,10_AMBER_A,Amber Alchalabi,,,,R,,E,,,,,,D7,D5,D1,D4,D1,,,,
Bachelor,10,10_BEVIN_P,Bevin Nicole Powers,,,R,,,,,E,,,,D7,,D4,D4,D1,D1,D1,,
Bachelor,10,10_BLAKENEY_R,Blakeney Rowe,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_CANDICE_D,Candice DeCost,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_CATHERINE_W,Catherine Warren,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_DANIELLE_I,Danielle Imwalle,,,,,,,E,,,,,D7,D4,D4,D4,D1,D1,,,
Bachelor,10,10_DANIELLE_V,Danielle Vallis,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_ERIN_P,Erin Parker,,,E,,,,,,,,,D7,D4,,,,,,,
Bachelor,10,10_JACKIE_T,Jackie Topelli,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_JEANETTE_A,Jeanette Alvarez,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_JESSICA_D,Jessica Devallo,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_KATE_B,Kate Brockhouse,,,,E,,,,,,,,D7,D4,D4,,,,,,
Bachelor,10,10_LINDA_M,Linda Malek,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_LINDSAY_S,Lindsay Smith,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_NICOLE_C,Nicole Clary,,,,E,,,,,,,,D7,D5,D4,,,,,,
Bachelor,10,10_PEYTON_W,Peyton Wright,,,ED,,,,,,,,,D7,D2,,,,,,,
Bachelor,10,10_STEPHANIE_T,Stephanie Tipper,R1,R,,E,,,,,,,,D1,D5,D4,,,,,,
Bachelor,10,10_STEPHANIE_W,Stephanie Wilhite,,,,,E,,,,,,,D7,D5,D4,D1,,,,,
Bachelor,10,10_SUSAN_A,Susan Anderson,,E,,,,,,,,,,D7,,,,,,,,
Bachelor,10,10_TESSA_H,Tessa Horst,,,R,,,,,W,,,,D7,D2,D4,D1,D1,D1,D1,,
Bachelor,10,10_TIFFANY_F,Tiffany Warren,E,,,,,,,,,,,,,,,,,,,
Bachelor,10,10_TIFFANY_W,Tiffany Forester,,E,,,,,,,,,,D7,,,,,,,,
Bachelor,10,10_TINA_W,Tina Wu,,,,,E,,,,,,,D7,D5,D4,D4,,,,,
Bachelorette,10,10_ANDREW_P,Andrew Poole,,,,,E,,,,,,,,D12,D6,D9,,,,,
Bachelorette,10,10_BRADLEY_W,Bradley Wisk,,,E,,,,,,,,,D14,D12,,,,,,,
Bachelorette,10,10_BRETT_M,Brett Melnick,,,E,,,,,,,,,D14,D12,,,,,,,
Bachelorette,10,10_BRIAN_O,Brian Osborne,,,,R,R,,E,,,,,D14,D12,D6,D1,D6,D4,,,
Bachelorette,10,10_CARL_K,Carl King,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,10,10_CHRIS_S,Chris Soules,,R,,,,R,,,ED,,,D1,,,D9,D6,D4,D1,D1,
Bachelorette,10,10_CODY_S,Cody Sattler,,,,,,ED,,,,,,D14,D12,D6,D9,D1,,,,
Bachelorette,10,10_CRAIG_M,Craig Muhlbauer,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,10,10_DYLAN_P,Dylan Petitt,,,,R,,,E,,,,,D14,,D1,D9,D6,D4,,,
Bachelorette,10,10_EMIL_S,Emil Schaffroth,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_ERIC_H,Eric Hill,,R,,EU,,,,,,,,D1,D12,D6,,,,,,
Bachelorette,10,10_JASON_L,Jason Leep,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_JJ_O,J.J. O'Brien,,,R,,R,E,,,,,,,D1,,D9,D6,,,,
Bachelorette,10,10_JOSH_B,Josh Bauer,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_JOSH_M,Josh Murray,,,R,,R,,,,,W,,D14,D12,,D1,D6,D1,D1,D1,D1
Bachelorette,10,10_MARCUS_G,Marcus Grodd,,R,,R,,,,E,,,,D14,D12,D1,D9,D6,D1,D1,,
Bachelorette,10,10_MARQUEL_M,Marquel Martin,,,,,E,,,,,,,D14,D12,D6,D9,,,,,
Bachelorette,10,10_MIKE_C,Mike Campanelli,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_NICK_S,Nick Sutter,,E,,,,,,,,,,D14,,,,,,,,
Bachelorette,10,10_NICK_V,Nick Viall,R1,,R,,,R,R,,,EU,,,D1,D6,D9,D1,D4,D1,D1,D1
Bachelorette,10,10_PATRICK_J,Patrick Jagodzinski,,,,,E,,,,,,,D14,D12,,D9,,,,,
Bachelorette,10,10_RON_W,Ron Worrell,,,EQ,,,,,,,,,D14,D12,,,,,,,
Bachelorette,10,10_RUDIE_D,Rudie Dane,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_STEVEN_W,Steven Woolworth,E,,,,,,,,,,,,,,,,,,,
Bachelorette,10,10_TASOS_H,Tasos Hernandez,,,,E,,,,,,,,D14,D12,,,,,,,
Bachelor,11,11_BETTINA_B,Bettina Bell,,,,R,,,E,,,,,D7,D5,D6,D1,D1,D1,,,
Bachelor,11,11_DEANNA_P,Deanna Pappas,,R,,R,,,,E,,,,D7,D6,D2,D4,D1,D1,D1,,
Bachelor,11,11_ERIN_G,Erin Gardner,,E,,,,,,,,,,D7,,,,,,,,
Bachelor,11,11_HILARY_R,Hillary Reisinger,,,R,,E,,,,,,,D7,D1,D6,D4,,,,,
Bachelor,11,11_JADE_B,Jade Beazley,,,,ED,,,,,,,,D7,D5,D2,,,,,,
Bachelor,11,11_JENNI_C,Jenni Croft,R1,,,R,,,,E,,,,D7,D6,D1,D4,D1,D1,D1,,
Bachelor,11,11_JESSICA_K,Jessica Kiss,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_JULI_G,Juli Gilliam,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_KIM_O,Kim Orville,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_KRISTY_K,Kristy Katzmann,,,R,,E,,,,,,,D7,D5,D6,D4,,,,,
Bachelor,11,11_LINDSEY_H,Lindsey Hawkins,,,E,,,,,,,,,D7,D6,,,,,,,
Bachelor,11,11_LORI_L,Lori Langley,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_MALLORY_S,Mallory Simons,,E,,,,,,,,,,D7,,,,,,,,
Bachelor,11,11_MCCARTEN_D,McCarten Delaney,,,,E,,,,,,,,D7,D6,D6,,,,,,
Bachelor,11,11_MELISSA_B,Melissa Buschel,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_MICHELE_L,Michele Leavy,,EQ,,,,,,,,,,,,,,,,,,
Bachelor,11,11_MORGAN_B,Morgan Becker,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_NATALIE_V,Natalie Velasco,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_REGINA_D,Regina Doringa,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_SARAH_N,Sarah Newlon,,R,E,,,,,,,,,D7,D6,,,,,,,
Bachelor,11,11_SHEENA_S,Sheena Stewart,,,,,,E,,,,,,D7,D5,D6,D1,D1,,,,
Bachelor,11,11_SOLISA_S,Solisa Shoop,,,E,,,,,,,,,D7,D5,,,,,,,
Bachelor,11,11_STEPHY_K,"Estefania ""Stephy"" Kootz",,,R,E,,,,,,,,D7,D6,D6,,,,,,
Bachelor,11,11_SUSAN_S,Susan Stein,E,,,,,,,,,,,,,,,,,,,
Bachelor,11,11_TAUNI_N,Tauni Nessler,E,,,,,,,,,,,,,,,,,,,
Bachelorette,11,11_BEN_H,Ben Higgins,,,R,,R,,,E,,,,D8,D6,D5,D1,D5,D1,D1,,
Bachelorette,11,11_BEN_Z,Ben Zorn,,R,R,,,E,,,,,,D8,D1,D8,D9,D5,,,,
Bachelorette,11,11_BRADLEY_C,Bradley Cox,E,,,,,,,,,,,,,,,,,,,
Bachelorette,11,11_BRADY_T,Brady Toops,EQ,,,,,,,,,,,,,,,,,,,
